,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,RES,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
124,2024-11-24,Torino,Monza,1.0,1.0,D,0.0,0.0,D,15.0,10.0,18.0,15.0,6.0,6.0,9.0,9.0,14,8,L,L,L,L,L,L,W,D,L,W,13
125,2024-11-24,Napoli,Roma,1.0,0.0,H,0.0,0.0,D,19.0,14.0,9.0,17.0,8.0,5.0,5.0,8.0,26,13,D,L,L,L,W,W,W,L,W,L,13
126,2024-11-24,Lazio,Bologna,3.0,0.0,H,0.0,0.0,D,25.0,15.0,14.0,16.0,12.0,5.0,6.0,4.0,25,18,W,L,W,W,W,W,W,W,L,D,13
127,2024-11-25,Empoli,Udinese,1.0,1.0,D,1.0,0.0,H,9.0,15.0,10.0,18.0,6.0,7.0,2.0,9.0,15,16,D,L,W,L,L,L,D,W,L,L,13
128,2024-11-25,Venezia FC,Lecce,0.0,1.0,A,0.0,0.0,D,11.0,5.0,21.0,21.0,7.0,2.0,13.0,10.0,8,9,L,D,L,L,W,W,D,L,L,L,13
129,2024-11-29,Cagliari,Verona,1.0,0.0,H,0.0,0.0,D,12.0,17.0,22.0,27.0,5.0,7.0,10.0,16.0,10,12,D,L,L,W,L,L,L,L,W,L,13
130,2024-11-30,Como 1907,Monza,1.0,1.0,D,1.0,0.0,H,13.0,11.0,25.0,16.0,5.0,6.0,10.0,9.0,10,9,L,D,D,L,L,L,L,L,L,D,14
131,2024-11-30,Milan,Empoli,3.0,0.0,H,2.0,0.0,H,23.0,10.0,14.0,11.0,15.0,7.0,7.0,2.0,22,16,W,D,D,D,D,W,W,L,L,D,14
132,2024-11-30,Bologna,Venezia FC,3.0,0.0,H,1.0,0.0,H,18.0,11.0,16.0,22.0,6.0,7.0,4.0,13.0,21,8,W,L,L,L,W,L,W,W,W,D,14
133,2024-12-01,Udinese,Genoa,0.0,2.0,A,0.0,1.0,A,16.0,11.0,19.0,24.0,7.0,3.0,10.0,7.0,17,11,D,D,L,D,L,W,L,L,W,L,14
